id_aluno,idade_aluno_2020,fase_2020,turma_2020,ponto_virada_2020,pedra_2020,ian_2020,ida_2020,ieg_2020,iaa_2020,ips_2020,ipp_2020,ipv_2020,inde_2020,instituicao_ensino_aluno_2020,anos_pm_2020,inde_conceito_2020,destaque_ieg_2020,destaque_ida_2020,destaque_ipv_2020
pm-1231,12,2,E,Não,Quartzo,5.0,7.0,7.0,0.0,4.375,6.666666666666666,7.999996666666666,6.0041660000000014,Escola Pública,3,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1232,12,2,H,Não,Quartzo,5.0,0.0,8.2,9.500020000000001,7.5,7.1875,7.249995,6.008751,Escola Pública,1,D,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1237,13,2,G,Não,Ágata,5.0,5.5,8.3,7.9166799999999995,7.5,7.5,7.166663333333332,6.985000666666667,Escola Pública,1,C,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
pm-1238,8,1,F,Não,Topázio,10.0,10.0,8.8,7.4166799999999995,7.5,6.875,8.0,8.539168,Escola Pública,2,A,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1241,11,2,G,Não,Quartzo,10.0,0.0,2.1,0.0,7.5,6.875,6.611106666666666,4.179721333333333,Escola Pública,2,D,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1244,9,1,B,Não,Topázio,10.0,9.5,8.9,9.500020000000001,7.5,8.125,7.75,8.742502000000002,Escola Pública,1,A,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1248,13,3,G,Não,Ametista,10.0,7.666666666666667,9.2,9.16668,6.875,8.541666666666666,8.055553333333332,8.442778666666666,Rede Decisão/União,3,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1249,14,5,F,Sim,Ametista,10.0,6.0,7.9,9.16668,6.25,8.59375,9.125005,8.006044,Rede Decisão/União,3,B,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1250,13,3,R,Não,Ágata,10.0,3.3333333333333335,5.0,6.66666,7.5,8.125,7.94444,6.484720666666667,Escola Pública,1,C,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.
pm-1251,14,3,M,Não,Ametista,5.0,7.666666666666667,6.7,9.16668,10.0,7.65625,7.7916675,7.613959833333333,Escola Pública,0,B,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.
