id_aluno,idade_aluno_2020,fase_2021,turma_2021,ponto_virada_2021,pedra_2021,ian_2021,ida_2021,ieg_2021,iaa_2021,ips_2021,ipp_2021,ipv_2021,inde_2021,instituicao_ensino_aluno_2021,sinalizador_ingressante_2021,rec_equipe_1_2021,rec_equipe_2_2021,rec_equipe_3_2021,rec_equipe_4_2021,nivel_ideal_2021,defasagem_2021
pm-1050,,0.0,R,Sim,Topázio,10.0,6.9,10.0,10.0,7.5,7.5,9.5,8.788,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1051,12,3.0,F,Não,Quartzo,10.0,1.3,1.7,0.0,7.5,6.9,2.9,3.599,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1055,,3.0,F,Não,Ágata,10.0,4.7,4.7,7.5,5.0,7.7,7.6,6.421,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1057,,3.0,L,Sim,Ametista,10.0,5.8,5.6,8.3,7.5,8.3,9.0,7.494,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1063,,0.0,S,Não,Quartzo,5.0,2.3,0.0,9.5,7.5,7.5,7.5,4.9,Escola Pública,Ingressante,Não avaliado,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-1064,,0.0,N,Não,Ágata,5.0,6.3,10.0,10.0,0.0,5.0,7.8,6.817,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0
pm-1065,,0.0,R,Não,Ametista,5.0,7.0,10.0,9.5,7.5,7.5,8.3,8.0,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-1066,,3.0,M,Não,Ágata,10.0,5.8,4.7,6.7,7.5,7.3,6.5,6.54,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1067,9,1.0,E,Sim,Topázio,5.0,8.1,10.0,9.5,7.5,8.8,9.2,8.544,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1068,,6.0,A,Não,Ametista,5.0,6.8,8.6,9.2,7.5,8.1,7.2,7.501,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 7 (3o EM),-1.0
pm-1070,10,1.0,E,Não,Ametista,5.0,5.4,9.6,9.5,7.5,8.3,8.7,7.758,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1071,,2.0,A,Não,Ametista,5.0,5.7,7.1,9.5,7.5,7.3,8.6,7.194,Escola Pública,Ingressante,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1072,12,3.0,C,Não,Ametista,10.0,4.6,5.3,9.2,7.5,7.5,8.2,7.033,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1073,,1.0,B,Não,Ametista,5.0,5.4,8.3,8.5,7.5,7.5,6.6,6.914,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1075,14,5.0,A,Sim,Ametista,10.0,6.3,7.2,7.5,7.5,7.8,9.4,7.859,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 5 (1o EM),0.0
pm-1078,11,2.0,R,Não,Quartzo,5.0,0.0,1.7,9.0,8.1,7.7,5.7,4.45,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1083,,2.0,E,Não,Quartzo,5.0,0.0,2.9,0.0,5.0,7.8,5.7,3.498,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 4 (9o ano),-2.0
pm-1084,8,1.0,F,Não,Ametista,10.0,5.6,9.6,8.0,6.9,7.9,8.2,7.954,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0
pm-1085,14,4.0,L,Não,Ágata,5.0,3.9,7.5,8.8,7.5,7.3,5.5,6.234,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),-1.0
pm-1086,,0.0,O,Não,Ametista,5.0,6.2,10.0,7.9,7.5,7.5,8.6,7.746,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0
pm-1087,11,2.0,M,Não,Ametista,5.0,5.0,8.8,8.5,7.5,8.1,8.3,7.329,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1089,10,1.0,G,Não,Ágata,5.0,3.6,2.9,9.0,7.5,7.5,7.2,5.653,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1090,10,1.0,M,Sim,Ametista,5.0,3.7,8.8,8.5,7.5,7.9,9.0,7.179,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1093,16,6.0,A,Não,Ametista,10.0,5.4,7.2,7.9,7.5,8.0,6.8,7.225,Rede Decisão,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 3 (7o e 8o ano),3.0
pm-1095,7,1.0,C,Sim,Topázio,10.0,8.9,9.2,10.0,8.1,9.2,9.7,9.294,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,ALFA  (2o e 3o ano),1.0
pm-1096,,3.0,B,Sim,Topázio,10.0,7.5,8.9,10.0,7.5,8.3,9.7,8.814,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1098,,0.0,L,Não,Topázio,10.0,5.3,10.0,10.0,7.5,7.5,8.8,8.313,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1099,,1.0,F,Não,Topázio,10.0,5.9,9.6,10.0,6.3,8.1,8.9,8.331,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),0.0
pm-1103,13,2.0,G,Não,Quartzo,5.0,3.3,2.9,0.0,5.6,6.0,5.5,4.0,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-2.0
pm-1104,,1.0,N,Não,Ametista,5.0,3.6,7.9,9.5,7.5,7.9,7.9,6.889,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1105,11,2.0,D,Não,Ágata,5.0,5.5,6.3,9.5,6.3,7.3,7.3,6.621,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1107,,2.0,B,Não,Ametista,5.0,8.0,9.6,10.0,7.5,7.5,8.5,8.217,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1110,10,2.0,A,Não,Ágata,10.0,5.1,5.4,9.0,7.5,6.5,7.3,6.871,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-1112,16,7.0,A,Não,Ametista,10.0,6.5,7.2,8.3,6.3,7.8,6.3,7.242,Rede Decisão,Veterano,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 7 (3o EM),0.0
pm-1114,,3.0,M,Não,Ágata,10.0,6.5,4.4,7.5,7.5,6.9,5.0,6.376,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1115,,1.0,E,Não,Quartzo,5.0,0.4,1.7,0.0,6.9,7.1,6.7,3.638,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-2.0
pm-1117,,0.0,N,Não,Ametista,10.0,6.8,8.3,9.5,0.0,7.5,7.0,7.129,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1119,8,2.0,A,Não,Ametista,10.0,5.6,5.8,10.0,7.5,7.1,8.2,7.383,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 1 (4o ano),1.0
pm-1122,,4.0,L,Não,Ametista,10.0,8.4,5.8,8.8,7.5,7.8,8.3,7.906,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Nível 4 (9o ano),0.0
pm-1123,15,4.0,G,Não,Ametista,5.0,7.5,8.6,7.5,6.3,8.3,8.5,7.634,Rede Decisão,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 6 (2o EM),-2.0
pm-1124,,4.0,F,Não,Ametista,5.0,6.0,8.6,7.9,5.6,8.1,8.4,7.264,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 6 (2o EM),-2.0
pm-1126,,3.0,G,Não,Quartzo,5.0,4.0,3.3,7.1,7.5,6.7,4.8,5.047,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0
pm-1127,12,3.0,A,Não,Ametista,10.0,5.5,7.8,9.2,6.3,7.9,7.8,7.547,Rede Decisão,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1128,14,4.0,F,Não,Ametista,5.0,8.1,8.9,9.2,5.0,8.8,8.9,7.961,Rede Decisão,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),-1.0
pm-1129,10,2.0,I,Não,Ametista,10.0,4.6,7.9,6.8,6.9,7.7,8.1,7.261,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-1130,11,2.0,N,Sim,Topázio,5.0,9.5,10.0,10.0,7.5,9.8,9.9,9.107,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1131,13,3.0,M,Não,Ágata,5.0,4.1,5.6,7.1,7.5,6.9,6.0,5.774,Escola Pública,Veterano,Mantido na Fase atual,Alocado em Fase anterior,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0
pm-1132,17,7.0,A,Não,Ametista,5.0,8.0,8.6,7.1,7.5,8.3,7.4,7.584,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Nível 8 (Universitários),-1.0
pm-1136,14,4.0,E,Sim,Topázio,5.0,8.2,9.2,8.8,7.5,8.8,9.1,8.292,Escola Pública,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),-1.0
pm-1139,12,3.0,C,Não,Ágata,5.0,5.0,5.8,8.8,7.5,7.5,7.3,6.497,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0
pm-1140,,5.0,B,Não,Ágata,5.0,5.5,6.1,7.5,7.5,7.8,7.2,6.545,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Alocado em Fase anterior,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 7 (3o EM),-2.0
pm-1141,13,2.0,P,Não,Ametista,5.0,6.9,5.0,7.4,7.5,8.1,8.9,6.969,Escola Pública,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-2.0
pm-1143,,0.0,O,Não,Ametista,5.0,6.3,10.0,8.5,3.8,7.5,7.1,7.154,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-1146,,3.0,A,Não,Ametista,10.0,6.1,7.2,9.6,7.5,7.5,8.3,7.775,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1147,,5.0,L,Não,Ametista,5.0,8.9,8.1,9.6,7.5,8.8,8.6,8.181,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Nível 6 (2o EM),-1.0
pm-1149,10,0.0,P,Não,Ágata,5.0,5.4,4.2,9.0,7.5,5.0,6.3,5.825,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 2 (5o e 6o ano),-2.0
pm-1150,9,1.0,G,Não,Ametista,5.0,5.8,8.8,8.0,7.5,8.3,7.6,7.318,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1151,,3.0,L,Não,Ágata,5.0,7.8,5.3,0.0,7.5,7.9,6.3,5.931,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1.0
pm-1155,,0.0,R,Sim,Topázio,10.0,7.7,10.0,9.5,7.5,8.4,9.8,9.048,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1156,13,4.0,A,Não,Ágata,10.0,6.5,5.3,8.8,5.6,7.0,6.2,6.73,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 4 (9o ano),0.0
pm-1157,,0.0,R,Não,Ametista,10.0,7.1,6.7,7.5,7.5,7.5,8.2,7.629,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1159,15,5.0,L,Não,Ametista,5.0,8.6,8.3,8.8,7.5,8.3,8.4,8.014,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 6 (2o EM),-1.0
pm-1160,,4.0,A,Não,Ametista,10.0,5.8,5.8,7.9,7.5,8.0,7.4,7.13,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 4 (9o ano),0.0
pm-1161,14,3.0,L,Não,Ágata,5.0,6.9,6.1,7.9,3.8,5.8,8.1,6.458,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 5 (1o EM),-2.0
pm-1164,,0.0,S,Não,Ágata,5.0,6.2,5.0,9.0,7.5,7.5,7.2,6.571,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-1165,13,3.0,F,Não,Ametista,5.0,7.2,8.6,7.9,7.5,7.7,8.9,7.765,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1.0
pm-1166,13,2.0,E,Não,Quartzo,5.0,3.5,2.1,0.0,6.9,5.4,5.7,3.979,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-2.0
pm-1167,9,2.0,G,Não,Ágata,10.0,1.8,6.3,10.0,7.5,6.9,6.2,6.294,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-1168,11,1.0,M,Sim,Ametista,5.0,6.9,9.6,9.5,7.5,8.1,9.0,8.104,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-2.0
pm-1170,9,1.0,E,Não,Quartzo,5.0,0.0,1.3,9.5,8.1,7.3,5.2,4.275,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1171,12,3.0,F,Sim,Topázio,10.0,9.2,8.9,8.8,6.3,9.2,9.9,9.025,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1174,15,6.0,C,Não,Ágata,10.0,6.0,7.2,8.3,3.8,6.7,6.3,6.775,Rede Decisão,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 6 (2o EM),0.0
pm-1175,10,1.0,J,Não,Ágata,5.0,2.2,6.3,8.0,7.5,8.4,6.7,5.915,Escola Pública,Veterano,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1176,15,5.0,B,Sim,Ametista,5.0,8.5,6.9,9.2,8.1,8.4,9.3,8.003,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 6 (2o EM),-1.0
pm-1181,10,1.0,F,Não,Ametista,5.0,7.6,9.6,9.0,5.6,8.1,8.7,7.961,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1182,,0.0,L,Não,Ametista,10.0,4.4,8.3,7.4,7.5,6.6,6.6,7.006,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1183,,1.0,B,Não,Ametista,5.0,6.4,9.2,8.5,7.5,7.5,8.3,7.614,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1190,11,2.0,M,Não,Ametista,5.0,6.1,8.8,8.5,7.5,8.1,8.3,7.554,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1191,12,3.0,A,Não,Quartzo,10.0,1.9,2.5,7.5,4.4,7.1,4.2,4.615,Rede Decisão,Ingressante,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1195,11,3.0,B,Não,Topázio,10.0,7.4,8.6,9.2,7.5,7.9,8.3,8.322,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1196,,7.0,A,Não,Ametista,10.0,6.1,6.9,9.2,7.5,8.3,9.0,7.892,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,,0.0
pm-1197,16,7.0,A,Não,Ametista,10.0,7.8,8.3,8.3,7.5,7.8,7.3,8.04,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Nível 7 (3o EM),0.0
pm-1198,11,2.0,J,Não,Quartzo,5.0,2.4,3.3,9.5,5.0,6.7,5.3,4.814,Escola Pública,Veterano,Alocado em Fase anterior,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1199,,0.0,S,Não,Ametista,5.0,4.9,8.3,8.5,7.5,7.5,7.7,7.025,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-1201,,7.0,A,Não,Ametista,10.0,6.5,6.1,7.1,5.6,8.1,7.1,7.031,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Nível 7 (3o EM),0.0
pm-1204,,1.0,G,Sim,Topázio,10.0,6.9,9.6,10.0,7.5,8.3,9.6,8.797,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Nível 1 (4o ano),0.0
pm-1205,9,2.0,A,Não,Ametista,10.0,5.5,9.2,8.5,7.5,7.3,8.9,8.04,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-1206,,0.0,T,Sim,Topázio,10.0,7.6,10.0,8.5,7.5,8.1,9.7,8.871,Escola Pública,Ingressante,Promovido de Fase,Promovido de Fase,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1210,,0.0,L,Não,Topázio,10.0,6.8,10.0,8.0,7.5,7.5,8.0,8.25,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1211,,0.0,L,Não,Ágata,10.0,4.8,6.7,8.4,7.5,6.6,6.1,6.748,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1212,,1.0,G,Não,Ágata,5.0,3.3,4.2,9.0,6.3,7.5,7.2,5.703,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1214,,1.0,M,Sim,Ametista,5.0,3.0,10.0,10.0,7.5,8.1,9.2,7.496,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1215,10,1.0,B,Não,Ametista,5.0,6.3,10.0,9.5,2.5,7.5,8.4,7.401,Escola Pública,Ingressante,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1217,13,3.0,A,Sim,Ametista,5.0,7.6,8.6,8.8,7.5,9.2,9.5,8.181,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 4 (9o ano),-1.0
pm-1219,13,5.0,B,Não,Ametista,10.0,7.9,7.5,7.9,7.5,8.6,8.6,8.201,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 4 (9o ano),1.0
pm-1221,,2.0,N,Sim,Topázio,5.0,8.0,10.0,9.0,7.5,9.8,9.4,8.618,Escola Pública,Ingressante,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1223,11,2.0,R,Não,Ágata,5.0,4.7,8.3,6.8,8.1,8.1,6.8,6.779,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1226,11,2.0,R,Não,Ágata,5.0,4.7,8.3,5.3,8.1,8.1,6.8,6.621,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1228,11,3.0,L,Não,Quartzo,10.0,3.1,0.6,0.0,7.5,6.3,2.5,3.603,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),0.0
pm-1229,9,1.0,J,Não,Ágata,5.0,0.7,5.8,9.5,4.4,8.1,7.9,5.588,Escola Pública,Veterano,Não avaliado,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1230,12,4.0,G,Não,Ametista,10.0,5.8,8.6,7.1,6.9,8.1,8.1,7.714,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 3 (7o e 8o ano),1.0
pm-1231,12,2.0,E,Não,Quartzo,5.0,3.1,1.7,0.0,6.3,7.5,6.5,4.133,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1232,12,2.0,H,Não,Quartzo,5.0,0.9,0.8,0.0,7.5,6.3,2.5,2.717,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1233,,5.0,F,Não,Ametista,10.0,7.8,6.7,9.6,5.0,7.7,6.5,7.416,Rede Decisão,Veterano,Mantido na Fase atual,Mantido na Fase + Bolsa,Promovido de Fase,Promovido de Fase,Nível 5 (1o EM),0.0
pm-1234,,0.0,L,Não,Ametista,10.0,5.6,6.7,8.5,7.5,7.5,7.2,7.229,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,ALFA  (2o e 3o ano),0.0
pm-1237,13,3.0,F,Não,Quartzo,5.0,2.3,2.2,6.7,7.5,7.1,4.2,4.372,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0
pm-1239,,1.0,R,Não,Ágata,5.0,2.0,5.8,8.5,7.5,7.3,5.9,5.574,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
pm-1240,,2.0,K,Não,Ametista,5.0,4.3,7.9,7.4,7.5,7.9,8.5,6.917,Escola Pública,Ingressante,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-1242,,1.0,G,Não,Quartzo,5.0,2.4,4.6,7.4,7.5,8.1,6.6,5.507,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
