id_aluno,idade_aluno_2020,fase_2021,turma_2021,ponto_virada_2021,pedra_2021,ian_2021,ida_2021,ieg_2021,iaa_2021,ips_2021,ipp_2021,ipv_2021,inde_2021,instituicao_ensino_aluno_2021,sinalizador_ingressante_2021,rec_equipe_1_2021,rec_equipe_2_2021,rec_equipe_3_2021,rec_equipe_4_2021,nivel_ideal_2021,defasagem_2021
pm-900,,3.0,D,Não,Ágata,5.0,5.4,5.6,7.9,7.5,7.3,4.4,5.835,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 4 (9o ano),-1.0
pm-902,8,0.0,I,Não,Ametista,5.0,5.4,10.0,8.5,7.5,7.8,6.6,7.273,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-903,8,1.0,M,Sim,Topázio,10.0,8.3,10.0,9.0,7.5,8.1,9.7,9.069,Rede Decisão,Ingressante,Promovido de Fase,Mantido na Fase + Bolsa,Promovido de Fase + Bolsa,Não avaliado,Nível 1 (4o ano),0.0
pm-904,13,4.0,A,Não,Ametista,10.0,5.9,5.6,9.2,7.5,7.5,7.2,7.144,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase,Promovido de Fase,Nível 4 (9o ano),0.0
pm-905,,0.0,M,Não,Ágata,5.0,3.5,5.8,9.5,7.5,7.5,6.6,6.133,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-906,16,5.0,A,Sim,Topázio,10.0,6.8,9.2,9.6,7.5,7.7,9.9,8.632,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Mantido na Fase atual,Nível 5 (1o EM),0.0
pm-907,9,2.0,P,Não,Quartzo,10.0,3.1,3.8,0.0,7.5,7.3,7.6,5.364,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-909,12,2.0,H,Não,Ágata,5.0,3.1,5.4,9.5,7.5,7.3,7.2,6.082,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-910,16,6.0,C,Não,Ágata,5.0,5.0,7.8,8.8,7.5,7.5,6.7,6.772,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 7 (3o EM),-1.0
pm-911,15,4.0,A,Não,Ágata,5.0,5.1,6.9,6.7,5.0,7.5,7.0,6.239,Escola Pública,Veterano,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Nível 6 (2o EM),-2.0
pm-914,,2.0,C,Não,Quartzo,5.0,4.6,2.9,0.0,7.5,7.7,7.7,5.061,Escola Pública,Ingressante,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-916,13,4.0,G,Sim,Topázio,10.0,7.8,9.7,8.3,7.5,9.2,9.3,8.866,Rede Decisão,Veterano,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Nível 4 (9o ano),0.0
pm-919,15,6.0,A,Não,Ágata,10.0,5.5,3.9,7.5,7.5,7.8,6.8,6.517,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Nível 6 (2o EM),0.0
pm-922,10,2.0,E,Não,Ametista,10.0,5.6,6.7,8.5,6.3,8.5,8.5,7.475,Escola Pública,Veterano,Promovido de Fase,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 2 (5o e 6o ano),0.0
pm-923,8,0.0,M,Não,Ágata,5.0,3.9,8.3,8.0,5.0,6.6,5.0,5.91,Escola Pública,Veterano,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Nível 1 (4o ano),-1.0
pm-926,12,2.0,I,Não,Ametista,5.0,6.9,7.9,9.0,5.0,7.5,8.1,7.219,Escola Pública,Veterano,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não avaliado,Nível 3 (7o e 8o ano),-1.0
pm-927,9,1.0,J,Não,Ametista,5.0,4.7,8.8,7.4,7.5,8.1,8.8,7.247,Escola Pública,Veterano,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Nível 2 (5o e 6o ano),-1.0
