id_aluno,idade_aluno_2020,fase_2022,turma_2022,ponto_virada_2022,pedra_2022,ian_2022,ida_2022,ieg_2022,iaa_2022,ips_2022,ipp_2022,ipv_2022,inde_2022,cg_2022,cf_2022,ct_2022,destaque_ieg_2022,destaque_ida_2022,destaque_ipv_2022,nota_port_2022,nota_mat_2022,nota_ing_2022,rec_ava_1_2022,rec_ava_2_2022,rec_ava_3_2022,rec_ava_4_2022,indicado_bolsa_2022,nivel_ideal_2022,ano_ingresso_2022,bolsista_2022,qtd_aval_2022
pm-810,,2.0,U,Não,Quartzo,5.0,2.0,7.032340311325819,9.000020000000001,7.5,5.624999999999999,7.055556666666666,5.930081395598497,735.0,133.0,14.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1.833333333333333,2.166666666666667,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2022,Não,3.0
pm-811,11,2.0,F,Não,Ágata,5.0,7.25,7.866730970179244,8.000020000000001,5.0,6.458333333333334,7.5,6.969181527369182,497.0,74.0,12.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.5,9.0,,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,,Não,Fase 3 (7º e 8º ano),2018,Sim,3.0
pm-812,,0.0,E,Não,Ametista,5.0,8.416666666666668,9.31450357920946,7.00002,7.5,5.625,8.083335,7.675403049175225,246.0,67.0,1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.833333333333334,8.0,,Promovido de Fase,Promovido de Fase,,,Não,Fase 2 (5º e 6º ano),2021,Não,2.0
pm-814,11,2.0,I,Não,Ágata,5.0,3.666666666666667,8.237762237762238,7.00002,7.5,6.25,6.833329999999999,6.322553780885782,680.0,124.0,10.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,1.333333333333333,6.0,,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Fase 3 (7º e 8º ano),2019,Não,3.0
pm-815,,4.0,P,Não,Ágata,5.0,5.5,6.779671717171717,7.5,7.5,7.5,6.874995,6.580933343434343,632.0,57.0,7.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,3.0,8.0,,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,Fase 6 (2º EM),2022,Não,4.0
pm-816,,3.0,B,Não,Ametista,10.0,7.5,7.11489898989899,8.33334,7.5,7.65625,6.45833,7.563604797979798,287.0,34.0,5.0,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.666666666666667,7.833333333333333,9.0,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,Não,Fase 3 (7º e 8º ano),2022,Não,4.0
pm-817,10,3.0,A,Não,Ametista,2.5,7.222222222222221,7.73989898989899,8.75001,7.5,8.125,8.0000025,7.279925742424242,403.0,47.0,12.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,5.0,7.333333333333333,9.333333333333334,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Sim,Fase 6 (2º EM),2019,Não,4.0
pm-818,,0.0,Q,Não,Ametista,5.0,8.25,9.008097165991904,9.000020000000001,7.5,5.625,8.333335,7.830788433198381,193.0,51.0,1.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.0,7.5,,Promovido de Fase,Promovido de Fase,,,Não,Fase 1 (4º ano),2021,Não,2.0
pm-819,,0.0,L,Não,Ágata,5.0,4.333333333333333,9.291101055806935,8.500020000000001,7.5,5.9375,7.416665,6.901971877828054,523.0,149.0,11.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,5.0,3.666666666666667,,Mantido na Fase atual,Mantido na Fase atual,,,Não,Fase 1 (4º ano),2022,Não,2.0
pm-820,14,5.0,B,Não,Ametista,5.0,8.433333333333332,8.131944444444445,7.08333,5.625,6.458333333333332,7.8750025,7.304722388888888,388.0,25.0,10.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.0,7.0,9.3,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase + Bolsa,,Não,Fase 6 (2º EM),2017,Sim,3.0
